# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

abandon|cease to support;desert;leave completely;give up with intent of never returning
ability|possession of means to do something;capacity;talent;skill in doing
able|having power or skill;capable;competent;having sufficient resources
about|on subject of;concerning;approximately;in vicinity of
above|in extended space over;at higher level;higher in rank;more than
abroad|in or to foreign country;away from one's home;over wide area
absence|state of being away;lack;deficiency of something
absolute|not qualified or diminished;total;complete;unrestricted;without exception
absorb|take in;soak up;assimilate information;take up attention of
abstract|existing in thought not physical;theoretical;summary;extract information from
abuse|use to bad effect;treat with cruelty;misuse;insult
academic|relating to education;scholarly;theoretical;not practical
accept|consent to receive;agree to;regard as true;believe
access|means of approaching;right to use;obtain or retrieve data
accident|unfortunate incident happening unexpectedly;chance occurrence;mishap
accompany|go somewhere with;occur at same time;supplement;provide musical backing
accomplish|achieve successfully;complete;fulfill;carry out
according|as stated by;in manner conforming to;correspondingly
account|record of transactions;report or description;customer's arrangement with bank
accurate|correct in all details;exact;precise;free from error
accuse|charge with offense;blame for wrongdoing;make accusation
achieve|reach by effort;accomplish;attain;succeed in doing
acknowledge|accept existence of;recognize;express thanks for;confirm receipt
acquire|buy or obtain;come to possess;gain;learn or develop skill
across|from one side to other;on other side of;throughout
act|take action;do something;deed performed;section of play
action|fact of doing something;deed;way of moving;mechanism
active|engaging in activity;lively;operating;in current use
activity|condition of being active;pursuit;pastime;deed
actual|existing in fact;real;current;genuine
adapt|make suitable for new use;adjust to conditions;modify;alter
add|join something to something else;combine;include;say in addition
addition|action of adding;person or thing added;branch of mathematics
address|details of location;speech;direct communication to;deal with issue
adequate|satisfactory;sufficient;acceptable in quality;barely sufficient
adjust|alter slightly;adapt to conditions;settle;regulate
administration|management of organization;government;giving of drug
admire|regard with respect;look at with pleasure;appreciate
admit|confess to be true;allow to enter;acknowledge as valid
adopt|legally take child as one's own;choose to follow;take up
adult|person who is fully grown;mature;intended for adults
advance|move forward;make progress;development;payment beforehand
advantage|condition giving better chance;benefit;superiority;interest
adventure|unusual and exciting experience;risky undertaking;hazardous activity
advertise|describe publicly to promote;make known;give public notice
advice|guidance or recommendations;counsel;information given
advise|offer suggestions;recommend;inform;give notice to
affair|event of specified type;matter of concern;love affair
affect|have effect on;touch feelings of;pretend to have
afford|have enough money for;provide;be able to spare
afraid|feeling fear;frightened;reluctant;regretful
after|in time following;behind;in pursuit of;later than
afternoon|time from noon to evening;later part of day
again|once more;another time;on another occasion;in addition
against|in opposition to;in contact with;in preparation for
age|length of time lived;period of history;old age;grow old
agency|business providing service;government department;action
agenda|list of items to discuss;underlying plan;program
agent|person acting on behalf of another;means producing effect
agree|have same opinion;consent;be consistent;suit;reach agreement
agreement|harmony in opinion;arrangement;contract;act of agreeing
agriculture|science of farming;cultivation of land;growing crops
ahead|further forward in space or time;in lead;in advance
aid|help or support;assistant;give help to;promote
aim|point toward target;intend;purpose or intention;direct course
air|invisible gaseous substance;atmosphere;tune;manner;express
aircraft|vehicle capable of flight;airplane;helicopter
airport|complex for aircraft takeoff and landing;aerodrome
alarm|warning of danger;anxious awareness;warning device;frighten
alcohol|colorless volatile liquid;intoxicating drinks;ethanol
alert|quick to notice danger;watchful;warning;make aware
alike|similar;in same manner;to same degree;resembling
alive|living;not dead;alert;continuing to exist
allow|give permission;permit;provide;make provision for
almost|not quite;very nearly;practically;all but
alone|on one's own;without others;lonely;only;without help
along|moving in direction;extending in line;together with
aloud|audibly;not silently;spoken so as to be heard
already|before time mentioned;so soon;by now;previously
also|in addition;besides;too;as well;moreover
alter|change in character;modify;become different;castrate animal
alternative|available as another choice;substitute;unconventional
although|in spite of fact that;however;even though
altogether|completely;in total;on the whole;taking everything into account
always|at all times;on all occasions;forever;repeatedly;constantly
amaze|surprise greatly;astonish;fill with wonder;overwhelm
amazing|causing great surprise;wonderful;astonishing;remarkable
ambition|strong desire to achieve;goal;aspiration;determination
among|surrounded by;in company of;shared by;between
amount|quantity of something;total;sum;reach in extent
amuse|cause to laugh;provide entertainment;keep occupied pleasantly
analysis|detailed examination;separation into components;study
analyze|examine in detail;study systematically;discover nature of
ancient|belonging to distant past;very old;former;aged
anger|strong feeling of displeasure;rage;make angry;annoy
angle|space between two lines;corner;perspective;point of view
angry|feeling anger;mad;irritated;inflamed
animal|living organism;mammal;cruel person;relating to animals
anniversary|date event occurred in previous year;celebration
announce|make public declaration;proclaim;make known;give notice
annoy|irritate;make slightly angry;bother;harass;molest
annual|occurring once every year;yearly;plant living one year
